"employee_id","directorate","role","grade","tgv_name","tv_name","baseline_score","user_score","tv_match_rate"
EMP100000,Technology,Brand Executive,IV,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,94,82.46
EMP100001,Technology,HRBP,III,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,94,87.85
EMP100002,Technology,Sales Supervisor,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,109,103.81
EMP100003,Commercial,HRBP,IV,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,85,74.56
EMP100004,Technology,Supply Planner,III,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,134,121.82
EMP100005,Commercial,Sales Supervisor,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,130,123.81
EMP100006,HR & Corp Affairs,Finance Officer,III,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,139,126.36
EMP100007,HR & Corp Affairs,HRBP,V,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,99,92.52
EMP100008,Commercial,Finance Officer,III,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,137,124.55
EMP100009,Commercial,Sales Supervisor,V,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,82,76.64
EMP100010,HR & Corp Affairs,HRBP,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,84,80.0
EMP100011,Technology,Finance Officer,V,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,125,114.68
EMP100012,Commercial,Data Analyst,IV,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,108,100.93
EMP100013,HR & Corp Affairs,Supply Planner,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,124,119.23
EMP100014,Commercial,Supply Planner,IV,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,92,80.7
EMP100015,HR & Corp Affairs,Finance Officer,V,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,109,103.81
EMP100016,HR & Corp Affairs,Supply Planner,IV,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,97,85.09
EMP100017,HR & Corp Affairs,HRBP,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,107,92.24
EMP100018,Technology,Sales Supervisor,IV,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,109,99.09
EMP100019,HR & Corp Affairs,HRBP,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,125,122.55
EMP100020,Commercial,Brand Executive,IV,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,132,125.71
EMP100021,HR & Corp Affairs,Brand Executive,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,109,93.97
EMP100022,HR & Corp Affairs,Data Analyst,IV,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,91,87.5
EMP100023,HR & Corp Affairs,Finance Officer,IV,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,139,132.38
EMP100024,HR & Corp Affairs,Sales Supervisor,IV,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,134,131.37
EMP100025,Technology,Brand Executive,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,109,93.97
EMP100026,HR & Corp Affairs,HRBP,IV,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,107,100.94
EMP100027,Commercial,Data Analyst,V,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,97,88.18
EMP100028,Commercial,Finance Officer,IV,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,107,93.86
EMP100029,Commercial,Sales Supervisor,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,105,100.0
EMP100030,HR & Corp Affairs,Sales Supervisor,V,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,110,102.8
EMP100031,Technology,Finance Officer,IV,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,103,100.98
EMP100032,Technology,Finance Officer,III,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,109,101.87
EMP100033,Technology,Sales Supervisor,IV,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,117,106.36
